Código OACI;CIAD;Nome;Município;UF;Tipo;LATGEOPOINT;LONGEOPOINT;Latitude;Longitude;Altitude;Operação Diurna;Operação Noturna;Rampa de Aproximação;Formato da Área de Pouso;Dimensões;Resistência do Pavimento;Superfície;Validade do Registro;Portaria de Registro;Link Portaria;Luzes de Aproximação;Luzes de Área de Toque e Elevação Inicial (TLOF);Indicador Visual de Rampa de Aproximação;Luzes Indicadoras de Área de Aproximação Final de Decolagem (FATO);Luzes de Obstáculo;Luzes de Ponto de Visada de Heliponto;TIPO_USO;id;categoria;parent_id;name;Label
SIBH;SP0467;Helicidade;SÃO PAULO;São Paulo;Elevado;-23.546667;-46.736944;"23°32'48.0""S";"046°44'13.0""W";737,0;VFR;VFR;2 17;Quadrado;24 m;6,00;Concreto;29/03/2032;PA2022-7597;https://pergamum.anac.gov.br/arquivos/PA2022-7597.pdf;;;;;;;Privado;62;3;4;Helipontos;
SIBM;SP0468;Hangar ABC;SÃO CAETANO DO SUL;São Paulo;No solo;-23.616944;-46.580278;"23°37'01.0""S";"046°34'49.0""W";738,0;VFR;VFR;1;Quadrado;21 m;5,00;Concreto;25/01/2031;PA2020-4036;https://pergamum.anac.gov.br/arquivos/PA2020-4036.pdf;;;;;;;Privado;62;3;4;Helipontos;
SIBR;SP0469;Ribeirão Shopping;RIBEIRÃO PRETO;São Paulo;Elevado;-21.211667;-47.834444;"21°12'42.0""S";"047°50'04.0""W";621,0;VFR;VFR;1;Quadrado;18 m;3,00;Concreto;;;;;;;;;;Privado;62;3;4;Helipontos;
SIBS;SP0470;E-Business Bosque;SÃO PAULO;São Paulo;Elevado;-23.511944;-46.710278;"23°30'43.0""S";"046°42'37.0""W";800,0;VFR;VFR;35;Quadrado;24 m;6,00;Concreto;30/12/2024;PA2014-3165;https://pergamum.anac.gov.br/arquivos/PA2014-3165.pdf;;;;;;;Privado;62;3;4;Helipontos;
SIBT;SP0471;Transportadora Americana II;AMERICANA;São Paulo;No solo;-22.732222;-47.286111;"22°43'56.1""S";"047°17'10.2""W";610,0;VFR;VFR;15;Quadrado;20 m;5,00;Grama;22/11/2023;PA2013-3000;https://pergamum.anac.gov.br/arquivos/PA2013-3000.pdf;;;;;;;Privado;62;3;4;Helipontos;
SICC;SP0472;Fazenda Campo Alto;ARARAS;São Paulo;No solo;-22.388889;-47.286667;"22°23'20.0""S";"047°17'12.0""W";630,0;VFR;VFR;1 19;Quadrado;30 m;10,00;Concreto;11/09/2024;PA2014-2126;https://pergamum.anac.gov.br/arquivos/PA2014-2126.pdf;;;;;;;Privado;62;3;4;Helipontos;
SICG;SP0473;Rede TV;OSASCO;São Paulo;Elevado;-23.520833;-46.763056;"23°31'15.0""S";"046°45'47.0""W";725,0;VFR;VFR;15;Quadrado;25 m;11,00;Concreto;25/01/2032;PA2022-7005;https://pergamum.anac.gov.br/arquivos/PA2022-7005.pdf;;;;;;;Privado;62;3;4;Helipontos;
SICH;SP0474;Hotel Campos do Jordão;CAMPOS DO JORDÃO;São Paulo;No solo;-22.717778;-45.567778;"22°43'04.0""S";"045°34'04.0""W";1640,0;VFR;VFR;9 27;Quadrado;21 m;4,25;Concreto;10/05/2023;PA2013-1161;https://pergamum.anac.gov.br/arquivos/PA2013-1161.pdf;;;;;;;Privado;62;3;4;Helipontos;
SICV;SP0476;Porto Marina Astúrias;GUARUJÁ;São Paulo;No solo;-24.000556;-46.293611;"24°00'02.0""S";"046°17'37.0""W";2,0;VFR;Sem Operação;5;Quadrado;18 m;3,00;Concreto;16/05/2032;PA2022-8002;https://pergamum.anac.gov.br/arquivos/PA2022-8002.pdf;;;;;;;Privado;62;3;4;Helipontos;
SICZ;SP0477;Edifício Comercial Lorena;SÃO PAULO;São Paulo;No solo;-23.573333;-46.655556;"23°34'24.2""S";"046°39'20.3""W";806,0;VFR;VFR;1;Quadrado;21 m;4,25;Concreto;16/01/2023;PA2013-0111;https://pergamum.anac.gov.br/arquivos/PA2013-0111.pdf;;;;;;;Privado;62;3;4;Helipontos;
SIDA;SP0478;Edifício Dakota;SÃO PAULO;São Paulo;Elevado;-23.594444;-46.683611;"23°35'40.0""S";"046°41'01.0""W";776,0;VFR;VFR;27;Quadrado;18 m;4,00;Concreto;;;;;;;;;;Privado;62;3;4;Helipontos;
