"geometriaa","tipovia","jurisdicao","administra","concession","revestimen","operaciona","situacaofi","canteirodi","nrpistas","nrfaixas","trafego","tipopavime","sigla","acostament","codtrechor","limitevelo","emperimetr","categoria","parent_id","name","label","id"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Concessionada                                                                   ","CCR SPVIAS                                                                                          ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","SP-258                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","SP-258                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Sem revestimento (leito natural)                                                ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","","2","Permanente                                                                      ","Desconhecido                                                                    ","                           ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","                                                  ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Sem revestimento (leito natural)                                                ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","","2","Periódico                                                                       ","Desconhecido                                                                    ","                           ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","                                                  ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","LMG-625                    ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","LMG-625                                           ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","","1","Permanente                                                                      ","Desconhecido                                                                    ","                           ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","                                                  ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Revestimento primário (solto)                                                   ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","","2","Periódico                                                                       ","Desconhecido                                                                    ","                           ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","                                                  ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Federal                                                                         ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","BR-122                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","BR-122                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Revestimento primário (solto)                                                   ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","MA-141                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","MA-141                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Revestimento primário (solto)                                                   ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","                           ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","                                                  ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","BA-148                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","BA-148                                            ","27"
